x,y,z,d
8,0,6,194.6896213
8,0,7,188.7459777
8,0,8,179.2278921
8,0,9,166.7616766
8,0,10,152.2397289
8,1,0,149.9634107
8,1,1,164.0953219
8,1,2,176.223152
8,1,3,185.484027
8,1,4,191.2686856
8,1,5,193.2331848
8,1,6,191.2686856
8,1,7,185.484027
8,1,8,176.223152
8,1,9,164.0953219
8,1,10,149.9634107
8,2,0,143.5533626
8,2,1,156.6109687
8,2,2,167.8061643
8,2,3,176.3567204
8,2,4,181.701351
8,2,5,183.5173646
8,2,6,181.701351
8,2,7,176.3567204
8,2,8,167.8061643
8,2,9,156.6109687
8,2,10,143.5533626
8,3,0,134.0794633
8,3,1,145.6151395
8,3,2,155.4880234
8,3,3,163.0282027
8,3,4,167.7446062
8,3,5,169.3481243
8,3,6,167.7446062
8,3,7,163.0282027
8,3,8,155.4880234
8,3,9,145.6151395
8,3,10,134.0794633
8,4,0,122.84654
8,4,1,132.6818462
8,4,2,141.0768786
8,4,3,147.4839869
8,4,4,151.4929691
8,4,5,152.8565608
8,4,6,151.4929691
8,4,7,147.4839869
8,4,8,141.0768786
8,4,9,132.6818462
8,4,10,122.84654
8,5,0,111.0205348
8,5,1,119.1914142
8,5,2,126.1408198
8,5,3,131.4366795
8,5,4,134.7493843
8,5,5,135.8762593
8,5,6,134.7493843
8,5,7,131.4366795
8,5,8,126.1408198
8,5,9,119.1914142
8,5,10,111.0205348
8,6,0,99.44541383
8,6,1,106.1163861
8,6,2,111.7656126
8,6,3,116.0607854
8,6,4,118.7449585
8,6,5,119.6577699
8,6,6,118.7449585
8,6,7,116.0607854
8,6,8,111.7656126
8,6,9,106.1163861
8,6,10,99.44541383
8,7,0,88.63059408
8,7,1,94.02002587
8,7,2,98.56193127
8,7,3,102.0050586
8,7,4,104.15346
8,7,5,104.8836168
8,7,6,104.15346
8,7,7,102.0050586
8,7,8,98.56193127
8,7,9,94.02002587
8,7,10,88.63059408
8,8,0,78.82278114
8,8,1,83.15397591
8,8,2,86.78538946
8,8,3,89.52902214
8,8,4,91.23761349
8,8,5,91.81778732
8,8,6,91.23761349
8,8,7,89.52902214
8,8,8,86.78538946
8,8,9,83.15397591
8,8,10,78.82278114
8,9,0,70.09393322
8,9,1,73.56965723
8,9,2,76.46870297
8,9,3,78.6511423
8,9,4,80.00724909
8,9,5,80.46725396
8,9,6,80.00724909
8,9,7,78.6511423
8,9,8,76.46870297
8,9,9,73.56965723
8,9,10,70.09393322
8,10,0,62.41380746
8,10,1,65.20655325
8,10,2,67.52407046
8,10,3,69.26236265
8,10,4,70.3399821
8,10,5,70.70511172
8,10,6,70.3399821
8,10,7,69.26236265
8,10,8,67.52407046
8,10,9,65.20655325
8,10,10,62.41380746
9,0,0,124.3276846
9,0,1,134.3806211
9,0,2,142.9647847
9,0,3,149.5170929
9,0,4,153.6168846
9,0,5,155.01131
9,0,6,153.6168846
9,0,7,149.5170929
9,0,8,142.9647847
9,0,9,134.3806211
9,0,10,124.3276846
9,1,0,122.84654
9,1,1,132.6818462
9,1,2,141.0768786
9,1,3,147.4839869
9,1,4,151.4929691
9,1,5,152.8565608
9,1,6,151.4929691
9,1,7,147.4839869
9,1,8,141.0768786
9,1,9,132.6818462
9,1,10,122.84654
9,2,0,118.6188572
9,2,1,127.8441199
9,2,2,135.7090934
9,2,3,141.7090111
9,2,4,145.4631119
9,2,5,146.74011
9,2,6,145.4631119
9,2,7,141.7090111
9,2,8,135.7090934
9,2,9,127.8441199
9,2,10,118.6188572
9,3,0,112.2150733
9,3,1,120.5480971
9,3,2,127.6382362
9,3,3,133.0423658
9,3,4,136.4229997
9,3,5,137.5729904
9,3,6,136.4229997
9,3,7,133.0423658
9,3,8,127.6382362
9,3,9,120.5480971
9,3,10,112.2150733
9,4,0,104.378113
9,4,1,111.6723334
9,4,2,117.8613937
9,4,3,122.5721055
9,4,4,125.5174123
9,4,5,126.5191956
9,4,6,125.5174123
9,4,7,122.5721055
9,4,8,117.8613937
9,4,9,111.6723334
9,4,10,104.378113
9,5,0,95.83566048
9,5,1,102.0657864
9,5,2,107.3336342
9,5,3,111.3352643
9,5,4,113.8348882
9,5,5,114.6847968
9,5,6,113.8348882
9,5,7,111.3352643
9,5,8,107.3336342
9,5,9,102.0657864
9,5,10,95.83566048
9,6,0,87.17919614
9,6,1,92.40569672
9,6,2,96.80715173
9,6,3,100.1422862
9,6,4,102.2227724
9,6,5,102.9297692
9,6,6,102.2227724
9,6,7,100.1422862
9,6,8,96.80715173
9,6,9,92.40569672
9,6,10,87.17919614
9,7,0,78.82278114
9,7,1,83.15397591
9,7,2,86.78538946
9,7,3,89.52902214
9,7,4,91.23761349
9,7,5,91.81778732
